exporter,importer,year,trade_value
ARE,AUT,2022,9544554195.312513
ARE,ISR,2022,5864607078.018385
ARE,MYS,2022,26482710006.423744
ARE,PAK,2022,7273853314.390781
ARE,PHL,2022,5496289125.21075
ARE,RUS,2022,51363600036.9275
ARE,TUR,2022,3235538318.0910482
ARG,BRA,2022,5389556901.770996
ARG,CHL,2022,22381976868.96881
ARG,CHN,2022,22724842051.44414
ARG,COL,2022,9966363925.012444
ARG,GBR,2022,17526215964.536716
ARG,HKG,2022,9008187264.192333
ARG,PER,2022,3842161129.633473
ARG,POL,2022,8749871887.645096
ARG,RUS,2022,2019952432.121844
AUS,BGD,2022,7579651036.492378
AUS,ESP,2022,7600454792.558034
AUS,NZL,2022,15367576792.578543
AUS,THA,2022,14745007280.526783
AUS,TWN,2022,1584760828.1562624
AUT,ESP,2022,11231529520.067257
AUT,IND,2022,1882960632.6635907
AUT,MYS,2022,1308383948.2780893
AUT,POL,2022,23159435689.6124
AUT,SAU,2022,12250721925.536736
BEL,AUS,2022,7419511856.571129
BEL,BGD,2022,7155893166.872586
BEL,FRA,2022,58438568582.964005
BEL,GBR,2022,22336652783.71407
BEL,KOR,2022,12950854042.021154
BEL,POL,2022,11545904999.777235
BEL,QAT,2022,29813357127.49346
BEL,SAU,2022,5339298673.309068
BEL,SWE,2022,1507750214.7096615
BGD,IND,2022,11109630010.004786
BGD,JPN,2022,3998131377.28972
BGD,LKA,2022,4764342404.9782715
BGD,NGA,2022,10229511771.814392
BGD,NOR,2022,5515096829.012309
BGD,PAK,2022,2777529283.8065133
BGD,POL,2022,16878445474.787634
BRA,AUT,2022,15955645569.616934
BRA,BGD,2022,6151297072.143726
BRA,CHL,2022,8199106581.404733
BRA,COL,2022,31518360641.102505
BRA,EGY,2022,7892295708.929609
BRA,KOR,2022,5062630109.465132
BRA,LKA,2022,181024494732.34042
BRA,MEX,2022,51087677274.10448
BRA,PER,2022,2455321694.6313934
BRA,POL,2022,16781142230.427618
BRA,QAT,2022,68544515542.24466
BRA,USA,2022,46096363347.54767
CAN,ARG,2022,14568281373.44154
CAN,BGD,2022,4013077426.576357
CAN,DEU,2022,49127542869.69509
CAN,ESP,2022,60128592578.16014
CAN,ISR,2022,18067859216.624348
CAN,MEX,2022,11501178956.358507
CAN,USA,2022,20251488545.983852
CHE,AUT,2022,15039232770.474815
CHE,BEL,2022,6101146666.415538
CHE,BGD,2022,8691088148.633997
CHE,CAN,2022,1495104524.5263577
CHE,DEU,2022,16967233953.3747
CHE,IDN,2022,16428114704.806005
CHE,MAR,2022,15754231592.49849
CHE,NOR,2022,9279984293.694464
CHE,SAU,2022,10230609343.478275
CHE,SWE,2022,2181277554.130988
